|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      28 | Open and view the Fourth accordion in the Pancake & Corned beef sauce page   | Mouse click the Fourth accordion in the Pancake & Corned beef sauce page   | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      29 | Open and view the Fifth accordion in the Pancake & Corned beef sauce page    | Mouse click the Fifth accordion in the Pancake & Corned beef sauce page    | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      30 | Open and view the Sixth accordion in the Pancake & Corned beef sauce page    | Mouse click the Sixth accordion in the Pancake & Corned beef sauce page    | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      31 | Open and view the Seventh accordion in the Pancake & Corned beef sauce page  | Mouse click the Seventh accordion in the Pancake & Corned beef sauce page  | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      32 | Open and view the eigth accordion in the Pancake & Corned beef sauce page    | Mouse click the Eigth accordion in the Pancake & Corned beef sauce page    | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      33 | Open and view the ninth accordion in the Pancake & Corned beef sauce page    | Mouse click the Ninth accordion in thePancake & Corned beef sauce page     | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      34 | Open and view the tenth accordion in the Pancake & Corned beef sauce page    | Mouse click the Tenth accordion in the Pancake & Corned beef sauce page    | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      35 | Open and view the eleventh accordion in the Pancake & Corned beef sauce page | Mouse click the Eleventh accordion in the Pancake & Corned beef sauce page | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      36 | Open and view the twelfth accordion in the Pancake & Corned beef sauce page  | Click the Twelfth accordion in the Pancake & Corned beef sauce page        | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      37 | Watch video in the Pancake & Corned beef sauce page                          | Mouse click video play button                                              | Video playes with audio                            | Video playes with audio                            | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      38 | Listen to audio player in the Pancake & Corned beef sauce page               | Mouse click audio play button                                              | Audio plays                                        | Audio plays                                        | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      39 | Attempt quiz in the Pancake & Corned beef sauce page                         | Mouse clicks options                                                       | Options selected                                   | Options selected                                   | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      40 | Submiting the Quiz in the Pancake & Corned beef sauce page                   | Mouse clicks submit button                                                 | Quiz submitted                                     | Quiz submitted                                     | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      41 | Click Nigerian Egg sauce Card                                                | Mouse click Nigerian Egg sauce Card                                        | Nigerian Egg sauce page opened                     | Nigerian Egg sauce page opened                     | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      42 | Open and view the first accordion in the Nigerian Egg sauce page             | Mouse click the First accordion in the Nigerian Egg sauce page             | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      43 | Open and view the Second accordion in the Nigerian Egg sauce page            | Mouse click the Second accordion in the Nigerian Egg sauce page            | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      44 | Open and view the Third accordion in the Nigerian Egg sauce page             | Mouse click the Third accordion in the Nigerian Egg sauce page             | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      45 | Open and view the Fourth accordion in the Nigerian Egg sauce page            | Mouse click the Fourth accordion in the Nigerian Egg sauce page            | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      46 | Open and view the Fifth accordion in the Nigerian Egg sauce page             | Mouse click the Fifth accordion in the Nigerian Egg sauce page             | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      47 | Open and view the Sixth accordion in the Nigerian Egg sauce page             | Mouse click the Sixth accordion in the Nigerian Egg sauce page             | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      48 | Open and view the Seventh accordion in the Nigerian Egg sauce page           | Mouse click the Seventh accordion in the Nigerian Egg sauce page           | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      49 | Open and view the eigth accordion in the Nigerian Egg sauce page             | Mouse click the Eigth accordion in the Nigerian Egg sauce page             | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      50 | Watch video in the Nigerian Egg sauce page                                   | Mouse click video play button                                              | Video playes with audio                            | Video playes with audio                            | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      51 | Listen to audio player in the Nigerian Egg sauce page                        | Mouse click audio play button                                              | Audio plays                                        | Audio plays                                        | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      52 | Attempt quiz in the Nigerian Egg sauce page                                  | Mouse clicks options                                                       | Options selected                                   | Options selected                                   | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      53 | Submiting the Quiz in the Nigerian Egg sauce page                            | Mouse clicks submit button                                                 | Quiz submitted                                     | Quiz submitted                                     | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      54 | Click Chicken Shawarma Card                                                  | Mouse click Chicken Shawarma Card                                          | Chicken Shawarma opened                            | Chicken Shawarma opened                            | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      55 | Open and view the first accordion in the Chicken Shawarma page               | Mouse click the First accordion in the Chicken Shawarma page               | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      56 | Open and view the Second accordion in the Chicken Shawarma page              | Mouse click the Second accordion in the Chicken Shawarma page              | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      57 | Open and view the Third accordion in the Chicken Shawarma page               | Mouse click the Third accordion in the Chicken Shawarma page               | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      58 | Open and view the Fourth accordion in the Chicken Shawarma page              | Mouse click the Fourth accordion in the Chicken Shawarma page              | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      59 | Open and view the Fifth accordion in the Chicken Shawarma page               | Mouse click the Fifth accordion in the Chicken Shawarma page               | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      60 | Open and view the Sixth accordion in the Chicken Shawarma page               | Mouse click the Sixth accordion in the Chicken Shawarma page               | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      61 | Open and view the Seventh accordion in the Chicken Shawarma page             | Mouse click the Seventh accordion in the Chicken Shawarma page             | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      62 | Open and view the eigth accordion in the Chicken Shawarma page               | Mouse click the Eigth accordion in the Chicken Shawarma page               | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      63 | Open and view the ninth accordion in the Chicken Shawarma page               | Mouse click the Ninth accordion in the Chicken Shawarma page               | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      64 | Open and view the tenth accordion in the Chicken Shawarma page               | Mouse click the Tenth accordion in the Chicken Shawarma page               | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      65 | Watch video in the Chicken Shawarma page                                     | Mouse click video play button                                              | Video playes with audio                            | Video playes with audio                            | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      66 | Listen to audio player in the Chicken Shawarma page                          | Mouse click audio play button                                              | Audio plays                                        | Audio plays                                        | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      67 | Attempt quiz in the Chicken Shawarma page                                    | Mouse clicks options                                                       | Options selected                                   | Options selected                                   | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      68 | Submiting the Quiz in the Chicken Shawarma page                              | Mouse clicks submit button                                                 | Quiz submitted                                     | Quiz submitted                                     | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      69 | Go to the about page                                                         | Mouse clicks on the about tab                                              | About page opened and its content displayed        | About page opened and its content displayed        | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      70 | Click the Let's Talk button                                                  | Mouse clicks on the Let's talk button                                      | Contact Us Page opened and its content displayed   | Contact Us Page opened and its content displayed   | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      71 | Go to the Contact Us page                                                    | Mouse clicks on the Contact us tab                                         | Contact Us Page opened and its content displayed   | Contact Us Page opened and its content displayed   | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      72 | Clicking Your Name input area                                                | Mouse clicks on the Your name input area                                   | User can type in the input area                    | User can type in the input area                    | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      73 | User typing their name and trying to submit                                  | Input"Esom"                                                                | The form will be submitted                         | The form will be submitted                         | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      74 | User typing their name and trying to submit                                  | No input from the user                                                     | Please fill in this field                          | Please fill in this field                          | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      75 | User typing their name and trying to submit                                  | Input"Esom 1"                                                              | The form will be submitted                         | The form will be submitted                         | FireFox      | Fail        | Javasctipt can be used for validation to catch numbers                         |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      76 | User typing their name and trying to submit                                  | Input"Esom_1;di232 "                                                       | The form will be submitted                         | The form will be submitted                         | FireFox      | Fail        | Javasctipt can be used for validation to catch numbers and symbols             |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      77 | User typing their name and trying to submit                                  | Input"E32432r)(*&^"                                                        | The form will be submitted                         | The form will be submitted                         | FireFox      | Fail        | Javasctipt can be used for validation to catch numbers and symbols             |
